,[R],[Ta],[Tr],[W],total_count,sequence,R_avg_cluster_size,Ta_avg_cluster_size,Tr_avg_cluster_size,W_avg_cluster_size,num_cluster_types,max_cluster_size,R_no_of_cluster,Ta_no_of_cluster,Tr_no_of_cluster,W_no_of_cluster,R_max_cluster_size,Ta_max_cluster_size,Tr_max_cluster_size,W_max_cluster_size,smiles
0,12,4,4,4,24,random,2.333333333,0,2,0,4,3,3,0,1,0,3,0,2,0,[R][Tr][R][Ta][R][W][R][W][R][R][Ta][Tr][Tr][Ta][R][R][R][W][Ta][W][R][Tr][R][R]
1,12,4,4,4,24,random,3.5,2,0,0,4,4,2,1,0,0,4,2,0,0,[R][Ta][R][W][R][Tr][R][Tr][R][Tr][W][R][R][R][R][W][Ta][W][Ta][Ta][R][R][R][Tr]
2,12,4,4,4,24,random,2.666666667,2,0,0,4,3,3,1,0,0,3,2,0,0,[R][Ta][R][W][Tr][W][R][R][R][Tr][R][R][R][Ta][R][Ta][Ta][W][R][R][Tr][W][R][Tr]
3,12,4,4,4,24,random,4,3,0,0,4,5,2,1,0,0,5,3,0,0,[R][R][R][R][R][W][R][W][R][Tr][Ta][Ta][Ta][R][R][R][Tr][R][Tr][W][R][Ta][W][Tr]
4,12,4,4,4,24,random,2.333333333,0,2,0,4,3,3,0,1,0,3,0,2,0,[R][Tr][W][Ta][R][Tr][Tr][R][R][R][Ta][R][Ta][R][W][Ta][R][R][Tr][W][R][R][W][R]
5,4,4,4,12,24,random,0,2,0,2.25,4,3,0,1,0,4,0,2,0,3,[Ta][Ta][W][W][Tr][W][W][R][W][W][Ta][R][Tr][R][W][R][W][Ta][W][Tr][W][W][W][Tr]
6,4,4,4,12,24,random,0,0,0,2.333333333,4,3,0,0,0,3,0,0,0,3,[W][W][W][R][Ta][Tr][R][W][Ta][W][Ta][W][R][Tr][W][W][Tr][W][Tr][R][W][Ta][W][W]
7,4,4,4,12,24,random,2,2,2,3,4,5,1,1,1,3,2,2,2,5,[Tr][W][Ta][W][Ta][W][W][W][W][W][R][W][Tr][Ta][Ta][W][W][R][R][W][W][Tr][Tr][R]
8,4,4,4,12,24,random,2,0,0,3.5,4,5,1,0,0,2,2,0,0,5,[W][W][Ta][R][R][W][R][W][Tr][W][W][W][W][W][Ta][Tr][W][Ta][W][Ta][Tr][W][R][Tr]
9,4,4,4,12,24,random,2,0,2,2.666666667,4,4,2,0,1,3,2,0,2,4,[W][W][R][R][W][W][Tr][W][W][W][W][Ta][W][Ta][Tr][Ta][Tr][Tr][W][R][R][W][Ta][W]
10,4,12,4,4,24,random,2,3,0,2,4,4,1,2,0,1,2,4,0,2,[Ta][Tr][Ta][R][Ta][Tr][Ta][R][R][Ta][Ta][W][Tr][Ta][W][W][Ta][Ta][Ta][Ta][W][Ta][Tr][R]
11,4,12,4,4,24,random,0,2,0,2,4,2,0,3,0,1,0,2,0,2,[Ta][Tr][W][Ta][R][W][W][Ta][R][Ta][Tr][Ta][Ta][Tr][Ta][R][Ta][Tr][Ta][Ta][R][W][Ta][Ta]
12,4,12,4,4,24,random,2,2.666666667,2,0,4,4,1,3,1,0,2,4,2,0,[R][Ta][W][Ta][Ta][Ta][Ta][W][Ta][Ta][Tr][Tr][Ta][Ta][W][Tr][Ta][Tr][Ta][R][W][R][R][Ta]
13,4,12,4,4,24,random,0,2.25,0,0,4,3,0,4,0,0,0,3,0,0,[Ta][Ta][Tr][Ta][Ta][R][W][Tr][R][Tr][Ta][R][W][Ta][W][Ta][R][Ta][Ta][Tr][Ta][Ta][Ta][W]
14,4,12,4,4,24,random,0,3,2,2,4,3,0,3,1,1,0,3,2,2,[Ta][Ta][Ta][Tr][Tr][Ta][Ta][Ta][W][Tr][Ta][Ta][Ta][R][Ta][R][Ta][R][Ta][Tr][W][W][R][W]
15,12,12,4,12,40,random,2.333333333,2,2,3.5,4,4,3,3,1,2,3,2,2,4,[Ta][R][R][R][Ta][W][R][W][Ta][R][W][Tr][R][Ta][R][R][W][W][W][Tr][Ta][R][R][Ta][Ta][R][Ta][Ta][W][Tr][Tr][Ta][R][W][W][W][W][Ta][Ta][W]
16,12,12,4,12,40,random,2,2.333333333,0,2.5,4,3,1,3,0,2,2,3,0,3,[R][W][R][Tr][R][W][Ta][Ta][Ta][W][R][R][Tr][R][W][Tr][R][Tr][Ta][Ta][R][Ta][Ta][R][Ta][W][R][W][Ta][R][Ta][W][W][W][Ta][W][Ta][R][W][W]
17,12,12,4,12,40,random,3,2,0,2,4,3,2,3,0,2,3,2,0,2,[Tr][W][W][Ta][W][Ta][R][Ta][W][Ta][W][R][R][R][W][Ta][Ta][R][Tr][Ta][Tr][R][W][R][R][R][W][Ta][Ta][W][W][Ta][Ta][Tr][R][W][R][W][R][Ta]
18,12,12,4,12,40,random,2,2,2,3,4,3,3,3,1,2,2,2,2,3,[R][W][W][W][Tr][R][W][R][W][Tr][Tr][R][R][Ta][Ta][R][R][Ta][R][R][Ta][W][Ta][Ta][W][Ta][R][Ta][R][Ta][W][Ta][Ta][W][R][Ta][W][W][W][Tr]
19,12,12,4,12,40,random,2,2,2,2,4,2,4,4,1,2,2,2,2,2,[W][Ta][W][W][R][Ta][Ta][W][Ta][R][R][W][W][R][R][Ta][W][Tr][R][W][R][W][R][R][Ta][Ta][W][Ta][Ta][Tr][Tr][Ta][R][R][W][R][Tr][Ta][Ta][W]
20,12,4,12,4,32,random,3,0,3,0,4,4,2,0,3,0,4,0,4,0,[W][Ta][R][Tr][W][Tr][Tr][Tr][R][R][W][R][Ta][Tr][Tr][R][Tr][W][R][Ta][R][Tr][Tr][Tr][Tr][R][R][R][R][Tr][Ta][R]
21,12,4,12,4,32,random,2.333333333,0,2.666666667,0,4,3,3,0,3,0,3,0,3,0,[R][Tr][Ta][W][R][R][R][Tr][Tr][Tr][W][Ta][R][R][Tr][Tr][R][Ta][Tr][R][Tr][Tr][Tr][R][R][W][Tr][R][W][Ta][Tr][R]
22,12,4,12,4,32,random,3,0,2,0,4,3,2,0,4,0,3,0,2,0,[Tr][Ta][W][R][Ta][R][Tr][W][Tr][Ta][W][R][Tr][Tr][Ta][Tr][Tr][R][W][R][R][R][Tr][Tr][R][Tr][Tr][R][Tr][R][R][R]
23,12,4,12,4,32,random,2,0,4,2,4,4,4,0,1,1,2,0,4,2,[R][R][W][R][Tr][Tr][Tr][Tr][R][R][Tr][R][R][Ta][Tr][R][W][W][Tr][R][W][Tr][Ta][Tr][Ta][R][R][Tr][Ta][Tr][R][Tr]
24,12,4,12,4,32,random,4,2,2.666666667,2,4,6,2,1,3,2,6,2,3,2,[Tr][Tr][Tr][Ta][R][R][R][R][R][R][W][W][Tr][R][Tr][W][W][Ta][Tr][R][Tr][Tr][R][Ta][Ta][Tr][Tr][Tr][R][Tr][R][R]
25,4,4,12,12,32,random,0,2,2.333333333,2,4,3,0,1,3,4,0,2,3,2,[Ta][W][W][Tr][W][R][Tr][Tr][W][R][Tr][W][W][Tr][W][W][Tr][Tr][W][Tr][Ta][Ta][R][W][W][Tr][Tr][Tr][Ta][R][W][Tr]
26,4,4,12,12,32,random,2,0,2.333333333,2.333333333,4,3,1,0,3,3,2,0,3,3,[W][Ta][Tr][W][Ta][Tr][Tr][Tr][W][R][R][W][W][W][Tr][Ta][Tr][R][Tr][Tr][W][R][Tr][Ta][W][Tr][W][W][Tr][Tr][W][W]
27,4,4,12,12,32,random,3,0,3,4,4,4,1,0,2,1,3,0,4,4,[W][Tr][W][Tr][Tr][Tr][Tr][W][Tr][W][R][R][R][Ta][W][W][W][W][Tr][W][Ta][Tr][W][Tr][Tr][Ta][Tr][W][Tr][R][Ta][W]
28,4,4,12,12,32,random,0,0,2.25,2.25,4,3,0,0,4,4,0,0,3,3,[Tr][Tr][Ta][R][Tr][Tr][Tr][W][Ta][W][W][Tr][W][W][W][Tr][Tr][R][Tr][Tr][R][W][W][R][W][Tr][Ta][W][W][Ta][Tr][W]
29,4,4,12,12,32,random,0,0,5,2,4,5,0,0,1,2,0,0,5,2,[W][Tr][R][Ta][Tr][Tr][Tr][Tr][Tr][W][W][Tr][W][Ta][W][Ta][Tr][W][R][W][Tr][W][Tr][W][Tr][R][W][Ta][W][W][Tr][R]
30,4,12,12,4,32,random,0,2.5,2.333333333,0,4,4,0,4,3,0,0,4,3,0,[W][Tr][Tr][Ta][R][W][Tr][Ta][Ta][R][Tr][Ta][Ta][Tr][R][Tr][W][Tr][Ta][R][Tr][Tr][Tr][Ta][Ta][W][Tr][Tr][Ta][Ta][Ta][Ta]
31,4,12,12,4,32,random,0,3.333333333,2.666666667,2,4,4,0,3,3,1,0,4,3,2,[Tr][R][W][W][Tr][Tr][Tr][W][Ta][Ta][Ta][Ta][Tr][Tr][R][Tr][Ta][Tr][Tr][Tr][Ta][Ta][Ta][Tr][R][Ta][W][R][Ta][Ta][Ta][Tr]
32,4,12,12,4,32,random,0,3,2.666666667,2,4,4,0,3,3,1,0,4,3,2,[Tr][Tr][Ta][Ta][Tr][Tr][Tr][Ta][R][Tr][Ta][Ta][Ta][R][Tr][R][W][Ta][Ta][Ta][Ta][Tr][Tr][Tr][W][W][Tr][Ta][W][Tr][Ta][R]
33,4,12,12,4,32,random,0,2.333333333,2,0,4,3,0,3,3,0,0,3,2,0,[Ta][Ta][Tr][W][Tr][Tr][W][R][Tr][R][Ta][R][Ta][Ta][Ta][W][Tr][Tr][Ta][W][Tr][Tr][Ta][Ta][Tr][Ta][Tr][Ta][Tr][R][Ta][Tr]
34,4,12,12,4,32,random,2,2.5,3.333333333,2,4,4,1,4,3,1,2,4,4,2,[R][R][Ta][Ta][Tr][Tr][Tr][Tr][R][Tr][Tr][Ta][W][W][Ta][Ta][R][W][Tr][Tr][Tr][Tr][Ta][Ta][Tr][Ta][Tr][Ta][Ta][Ta][Ta][W]
35,12,12,12,12,48,random,2,3.5,2.5,2.333333333,4,4,3,2,2,3,2,4,3,3,[Tr][Ta][W][Tr][W][Tr][R][R][W][W][W][R][Ta][Ta][Ta][Ta][R][Ta][R][W][Ta][R][Tr][Ta][R][Tr][R][R][Tr][Tr][Tr][W][Tr][W][W][R][Ta][R][R][Ta][Ta][Ta][W][Tr][W][W][Tr][Tr]
36,12,12,12,12,48,random,3,3,2,3,4,3,1,1,1,2,3,3,2,3,[W][Ta][W][W][W][Tr][Ta][Ta][Ta][W][Tr][Ta][Tr][Ta][Tr][Ta][R][Tr][R][W][Ta][Tr][R][R][R][W][Ta][R][Tr][R][W][W][W][R][Ta][Tr][Tr][R][Tr][R][Ta][R][Tr][R][Tr][W][Ta][W]
37,12,12,12,12,48,random,2,2.333333333,2.333333333,2,4,3,2,3,3,2,2,3,3,2,[W][Ta][Ta][Tr][Tr][Ta][Tr][R][W][W][Ta][R][W][Tr][R][R][Ta][R][Ta][Ta][W][Tr][Tr][Tr][W][Tr][Ta][Ta][Ta][W][R][W][W][R][R][W][Tr][R][Ta][R][W][Ta][Tr][Tr][R][W][Tr][R]
38,12,12,12,12,48,random,3,2,2.5,2.5,4,4,2,2,4,2,4,2,3,3,[Ta][W][Ta][R][Tr][W][R][W][Tr][W][R][R][R][R][Ta][R][R][Tr][Tr][Tr][Ta][Ta][Tr][Tr][Ta][Tr][Tr][Tr][Ta][W][W][R][Ta][R][W][Ta][Tr][Tr][W][W][W][Ta][Ta][R][W][Ta][W][R]
39,12,12,12,12,48,random,2,2,2,2,4,2,2,1,2,1,2,2,2,2,[Ta][W][Tr][Tr][R][Tr][R][W][Ta][R][Ta][Tr][R][Tr][R][R][Ta][R][Tr][W][Ta][W][Ta][Tr][W][W][R][Ta][Tr][Ta][Ta][W][Tr][Tr][W][R][W][Tr][Ta][W][R][R][W][Ta][R][W][Ta][Tr]
